"name","lat","lon"
"Aero B Ranch Airport","38.704022","-101.473911"
"Lowell Field","59.94919968","-151.695999146"
"Epps Airpark","34.86479949951172","-86.77030181884766"
"Fulton Airport","34.9428028","-97.8180194"
"Cordes Airport","34.305599212646484","-112.16500091552734"
"Goldstone /Gts/ Airport","35.350498199499995","-116.888000488"
"Williams Ag Airport","39.427188","-121.763427"
"Grass Patch Airport","28.64550018310547","-82.21900177001953"
"River Oak Airport","27.230899810791016","-80.96920013427734"
"Lt World Airport","33.76750183105469","-84.06829833984375"
"Delta Shores Airport","48.145301818847656","-116.21399688720703"
"Goltl Airport","39.724028","-101.395994"
"Hammer Airport","41.97840118408203","-89.5604019165039"
"Hayenga's Cant Find Farms Airport","40.02560043334961","-89.1229019165039"
"Hayden Farm Airport","38.72779846191406","-94.93049621582031"
"Robbins Roost Airport","37.409400939941406","-84.61969757080078"
"Lejeune Airport","30.13629913330078","-92.42939758300781"
"Slater Field","38.75709915161133","-75.75379943847656"
"Battle Lake Municipal Airport","46.29999923706055","-95.70030212402344"
"Cooper Flying Service Airport","37.202800750732","-94.412399291992"
"Bucks Airport","39.473201751708984","-75.1852035522461"
"North Raleigh Airport","36.085201263427734","-78.37139892578125"
"Weiss Airfield","42.90010070800781","-77.49970245361328"
"Gull Bay Landing Airport","36.198598","-96.217693"
"Ferrell Field","41.2995","-80.211111"
"Mc Kenzie Bridge State Airport","44.183200836199994","-122.088996887"
"Flying O Airport","34.0093994140625","-80.26719665527344"
"Homan Field","44.809158","-96.498897"
"Ragsdale Road Airport","35.515899658203125","-85.95359802246094"
"Alpine Range Airport","32.607601165771484","-97.24199676513672"
"Vaughan Airport","36.57600021","-78.9991684"
"Groundhog Mountain Airport","36.663299560546875","-80.49949645996094"
"Lower Granite State Airport","46.673500061035","-117.44300079346"
"Howell Airport","47.17839813232422","-122.77200317382812"
"Northern Lite Airport","44.304298400878906","-89.05010223388672"
"Hawks Run Airport","46.25","-117.2490005493164"
"Lazy J. Aerodrome","38.82889938354492","-79.86609649658203"
"L P Askew Farms Airport","33.03340148925781","-101.93399810791016"
"Purkeypile Airport","62.943599700927734","-152.27000427246094"
"Ware Island Airport","32.94599914550781","-86.51390075683594"
"Swansboro Country Airport","38.79990005493164","-120.73400115966797"
"Rybolt Ranch Airport","28.589399337768555","-81.14420318603516"
"Cedar Knoll Flying Ranch Airport","28.78190040588379","-81.1592025756836"
"The Farm Airport","32.674400329589844","-82.77110290527344"
"Stender Airport","41.66109848022461","-90.74130249023438"
"Lava Hot Springs Airport","42.6082","-112.031998"
"Myers Field","39.8849983215332","-86.50669860839844"
"William E. Koenig Airport","39.01620101928711","-90.31819915771484"
"Hilliard Airpark","30.68630027770996","-81.90570068359375"
"Caldwell Municipal Airport","37.03609848022461","-97.5864028930664"
"Flying N Ranch Airport","38.54059982299805","-97.00330352783203"
"Barham Airport","32.638999938964844","-91.77369689941406"
"Schumaier Restricted Landing Area","38.12580108642578","-89.46389770507812"
"Country Breeze Airport","30.70599937438965","-91.07740020751953"
"Crystal Lakes Resort Airport","48.789100646972656","-114.87999725341797"
"Topsail Airpark","34.47529983520508","-77.5813980102539"
"Detour Airport","40.84360122680664","-100.65299987792969"
"Moore Airfield","43.6445","-72.086998"
"Champion Ranch Airport","33.008611","-104.540278"
"Lantana Ranch Airport","38.76390075683594","-119.0270004272461"
"Bierly(Personal Use) Airport","40.930599212646484","-77.73889923095703"
"Nort's Resort Airport","41.59590148925781","-76.02960205078125"
"York Airport","35.032100677490234","-81.25279998779297"
"Smith Field","32.73759841918945","-96.4280014038086"
"Colonial Air Park","34.99589920043945","-89.73059844970703"
"Mims Farm Ultralightport","32.38759994506836","-96.87750244140625"
"Duckwater Airport","38.851600646972656","-115.63400268554688"
"La Sal Junction Airport","38.30830001831055","-109.39600372314453"
"Pickles Airport","39.125","-77.9250030518"
"Prehn Cranberry Company Airport","44.0099983215332","-90.38919830322266"
"Keyhole Airport","44.347198486328125","-104.81099700927734"
"Rustic Wilderness Airport","61.87689971923828","-150.09800720214844"
"Bass Field","30.37150001525879","-87.76439666748047"
"Shannon Field","34.129600524902344","-90.52400207519531"
"Conover Air Lodge Airport","34.761101","-119.058998"
"Mc Cullough Airport","37.64329910279999","-106.04699707"
"Osborn Airfield","28.52669906616211","-81.87480163574219"
"Doug Bolton Field","34.202598571777344","-83.42900085449219"
"Etowah Fields Airport","34.17530059814453","-84.92440032958984"
"Morgan Ranch Airport","44.55550003051758","-115.30500030517578"
"King Ultralightport","40.06230163574219","-86.21050262451172"
"Diamond P. Field","40.208900451660156","-85.54080200195312"
"Jmj Landing Airport","39.222198486328125","-96.0552978515625"
"Garner Field","38.672544","-76.709739"
"Nadeau's Airfield","43.5373","-70.929397"
"Fairplains Airpark","43.157100677490234","-85.14849853515625"
"Greenbush Municipal Airport","48.68330001831055","-96.19200134277344"
"Troy Airpark","39.04999923706055","-91.03350067138672"
"Watts Field","34.100101470947266","-90.8468017578125"
"Benes Service Airport","41.074501037597656","-96.90450286865234"
"Paiute Meadows Airport","41.30329895019531","-118.5979995727539"
"Zimmerman Airport","41.376399993896484","-83.08329772949219"
"Murtha Airport","41.801998138427734","-80.56539916992188"
"Rowena Dell Airport","45.68149948120117","-121.31600189208984"
"Cuylers Airport","18.45330047607422","-66.36689758300781"
"Hughes Ultralightport","41.90060043334961","-77.23030090332031"
"Harpers Airport","32.75849914550781","-81.22480010986328"
"Wise River Airport","45.769100189208984","-112.98200225830078"
"Ellis Field","35.780601501464844","-86.58419799804688"
"The Palms At Kitty Hawk Airport","33.3704032898","-101.92288208"
"Lucin Airport","41.36629867553711","-113.84300231933594"
"The Greenhouse Airport","38.435699462890625","-77.8572006225586"
"Cawleys South Prairie Airport","47.15230178833008","-122.09400177001953"
"Beer Airport","45.031898498535156","-92.65579986572266"
"Fowler Field","48.74580001831055","-119.31900024414062"
"JLS Farms Airport","33.591319","-95.882864"
"Thompson International Aviation Airport","31.433399200439453","-110.08399963378906"
"Kugel-Strong Airport","40.2125015259","-104.744003296"
"Lake Persimmon Airstrip","27.353099822998047","-81.40809631347656"
"HIA Airport","32.5623056","-81.8576944"
"East Field","41.58190155029297","-92.4613037109375"
"Flying Y Ranch Airport","44.7943000793457","-116.53299713134766"
"Davis Field Ultralightport","37.9620018005","-87.7789001465"
"Wix Airport","41.40230178833008","-87.81670379638672"
"Heinzman Airport","40.18000030517578","-86.01249694824219"
"Flying H Farms Airport","37.79169845581055","-87.54139709472656"
"Hadley Airport","42.39310073852539","-72.552001953125"
"Maple Ridge Airport","44.08420181274414","-70.6272964477539"
"Nauerth Land Ranch Airport","43.62519836425781","-95.22470092773438"
"Cascade Field","47.267327","-111.71748"
"Mc Donnell Airport","38.4925003052","-94.41249847410002"
"Utirik Airport","11.222","169.852005"
"Pilots Ridge Airport","34.10430145263672","-77.9041976928711"
"Olafson Brothers Airport","48.626399993896484","-97.8290023803711"
"Hyde Ranch Airport","41.5463981628418","-99.3311996459961"
"Llama Ranch Airport","40.58440017700195","-115.2979965209961"
"Talmage Field","40.95840072631836","-72.716796875"
"Gibbs Field","41.418399810791016","-83.01740264892578"
